"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 14 17:03:20 GMT 2025","Thu Aug 14 17:03:23 GMT 2025","3027","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Thu Aug 14 17:03:30 GMT 2025","Thu Aug 14 17:03:30 GMT 2025","1","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Thu Aug 14 17:03:28 GMT 2025","Thu Aug 14 17:03:30 GMT 2025","1924","LMS system","Courses","Courses","","","Create course",""
"passed","Thu Aug 14 17:03:30 GMT 2025","Thu Aug 14 17:03:30 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Thu Aug 14 17:03:31 GMT 2025","Thu Aug 14 17:03:32 GMT 2025","1356","LMS system","Dashboard","Dashboard","","","Check displayning of dashboard page",""
"passed","Thu Aug 14 17:03:25 GMT 2025","Thu Aug 14 17:03:27 GMT 2025","1538","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Thu Aug 14 17:03:22 GMT 2025","Thu Aug 14 17:03:24 GMT 2025","1590","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Aug 14 17:03:30 GMT 2025","Thu Aug 14 17:03:30 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Thu Aug 14 17:03:23 GMT 2025","Thu Aug 14 17:03:25 GMT 2025","1392","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Aug 14 17:03:30 GMT 2025","Thu Aug 14 17:03:30 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Thu Aug 14 17:03:20 GMT 2025","Thu Aug 14 17:03:22 GMT 2025","1703","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Aug 14 17:03:26 GMT 2025","Thu Aug 14 17:03:27 GMT 2025","1375","LMS system","Courses","Courses","","","Check displayning of empty courses list",""
"passed","Thu Aug 14 17:03:24 GMT 2025","Thu Aug 14 17:03:25 GMT 2025","1244","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Thu Aug 14 17:03:30 GMT 2025","Thu Aug 14 17:03:30 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Thu Aug 14 17:03:28 GMT 2025","Thu Aug 14 17:03:31 GMT 2025","2316","LMS system","Courses","Courses","","","test_edit_course[chromium]",""
"passed","Thu Aug 14 17:03:30 GMT 2025","Thu Aug 14 17:03:30 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
